,date,location,time,PM2.5
0,2016/01/01,中壢,0.0,58.0
1,2016/01/01,中壢,1.0,58.0
2,2016/01/01,中壢,2.0,48.0
3,2016/01/01,中壢,3.0,43.0
4,2016/01/01,中壢,4.0,36.0
5,2016/01/01,中壢,5.0,37.0
6,2016/01/01,中壢,6.0,31.0
7,2016/01/01,中壢,7.0,15.0
8,2016/01/01,中壢,8.0,11.0
9,2016/01/01,中壢,9.0,17.0
10,2016/01/01,中壢,10.0,18.0
11,2016/01/01,中壢,11.0,22.0
12,2016/01/01,中壢,12.0,18.0
13,2016/01/01,中壢,13.0,25.0
14,2016/01/01,中壢,14.0,25.0
15,2016/01/01,中壢,15.0,35.0
16,2016/01/01,中壢,16.0,33.0
17,2016/01/01,中壢,17.0,36.0
18,2016/01/01,中壢,18.0,30.0
19,2016/01/01,中壢,19.0,28.0
20,2016/01/01,中壢,20.0,23.0
21,2016/01/01,中壢,21.0,30.0
22,2016/01/01,中壢,22.0,28.0
23,2016/01/01,中壢,23.0,23.0
24,2016/01/02,中壢,0.0,30.0
25,2016/01/02,中壢,1.0,31.0
26,2016/01/02,中壢,2.0,38.0
27,2016/01/02,中壢,3.0,32.0
28,2016/01/02,中壢,4.0,33.0
29,2016/01/02,中壢,5.0,31.0
30,2016/01/02,中壢,6.0,29.0
31,2016/01/02,中壢,7.0,35.0
32,2016/01/02,中壢,8.0,41.0
33,2016/01/02,中壢,9.0,49.0
34,2016/01/02,中壢,10.0,54.0
35,2016/01/02,中壢,11.0,50.0
36,2016/01/02,中壢,12.0,45.0
37,2016/01/02,中壢,13.0,50.0
38,2016/01/02,中壢,14.0,66.0
39,2016/01/02,中壢,15.0,71.0
40,2016/01/02,中壢,16.0,76.0
41,2016/01/02,中壢,17.0,68.0
42,2016/01/02,中壢,18.0,69.0
43,2016/01/02,中壢,19.0,64.0
44,2016/01/02,中壢,20.0,62.0
45,2016/01/02,中壢,21.0,69.0
46,2016/01/02,中壢,22.0,64.0
47,2016/01/02,中壢,23.0,62.0
48,2016/01/03,中壢,0.0,59.0
49,2016/01/03,中壢,1.0,62.0
50,2016/01/03,中壢,2.0,64.0
51,2016/01/03,中壢,3.0,59.0
52,2016/01/03,中壢,4.0,47.0
53,2016/01/03,中壢,5.0,38.0
54,2016/01/03,中壢,6.0,43.0
55,2016/01/03,中壢,7.0,27.0
56,2016/01/03,中壢,8.0,27.0
57,2016/01/03,中壢,9.0,33.0
58,2016/01/03,中壢,10.0,31.0
59,2016/01/03,中壢,11.0,33.0
60,2016/01/03,中壢,12.0,29.0
61,2016/01/03,中壢,13.0,24.0
62,2016/01/03,中壢,14.0,24.0
