,date,location,time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10
0,2016/01/01,оч╢щ,0.0,16.0,1.9,0.47,0.08,0.5,8.2,8.7,50.0,90.0
1,2016/01/01,оч╢щ,1.0,15.0,1.9,0.47,0.07,0.6,8.0,8.6,49.0,84.0
2,2016/01/01,оч╢щ,2.0,16.0,1.9,0.42,0.06,0.7,7.8,8.5,47.0,73.0
3,2016/01/01,оч╢щ,3.0,16.0,1.9,0.37,0.05,0.4,5.3,5.7,46.0,66.0
4,2016/01/01,оч╢щ,4.0,16.0,1.9,0.35,0.05,0.7,4.9,5.6,45.0,60.0
5,2016/01/01,оч╢щ,5.0,16.0,1.9,0.35,0.05,0.7,5.5,6.2,43.0,64.0
6,2016/01/01,оч╢щ,6.0,16.0,1.9,0.35,0.06,0.6,5.5,6.1,43.0,69.0
7,2016/01/01,оч╢щ,7.0,20.0,1.9,0.44,0.09,2.4,9.9,12.0,40.0,58.0
8,2016/01/01,оч╢щ,8.0,21.0,1.9,0.44,0.1,2.6,10.0,13.0,40.0,56.0
9,2016/01/01,оч╢щ,9.0,22.0,1.9,0.41,0.08,2.4,8.4,11.0,43.0,51.0
10,2016/01/01,оч╢щ,10.0,22.0,1.9,0.42,0.08,2.3,8.7,11.0,43.0,45.0
11,2016/01/01,оч╢щ,11.0,22.0,1.9,0.43,0.08,2.2,9.8,12.0,42.0,43.0
12,2016/01/01,оч╢щ,12.0,22.0,1.9,0.45,0.1,2.3,11.0,13.0,39.0,53.0
13,2016/01/01,оч╢щ,13.0,21.0,1.9,0.48,0.11,1.9,14.0,16.0,34.0,59.0
14,2016/01/01,оч╢щ,14.0,20.0,1.9,0.55,0.13,1.5,17.0,19.0,32.0,56.0
15,2016/01/01,оч╢щ,15.0,20.0,1.9,0.6,0.15,1.1,21.0,22.0,28.0,44.0
16,2016/01/01,оч╢щ,16.0,19.0,1.9,0.57,0.14,1.0,22.0,23.0,27.0,39.0
17,2016/01/01,оч╢щ,17.0,19.0,2.0,0.76,0.23,4.1,30.0,35.0,17.0,41.0
18,2016/01/01,оч╢щ,18.0,18.0,2.2,1.13,0.4,17.0,38.0,55.0,1.8,46.0
19,2016/01/01,оч╢щ,19.0,17.0,2.1,1.12,0.36,21.0,35.0,55.0,1.3,47.0
20,2016/01/01,оч╢щ,20.0,17.0,2.2,1.41,0.46,34.0,32.0,66.0,1.3,48.0
21,2016/01/01,оч╢щ,21.0,18.0,2.2,1.13,0.4,17.0,38.0,55.0,1.8,46.0
22,2016/01/01,оч╢щ,22.0,17.0,2.1,1.12,0.36,21.0,35.0,55.0,1.3,47.0
23,2016/01/01,оч╢щ,23.0,17.0,2.2,1.41,0.46,34.0,32.0,66.0,1.3,48.0
24,2016/01/02,оч╢щ,0.0,17.0,2.2,1.19,0.42,26.0,31.0,57.0,1.4,47.0
25,2016/01/02,оч╢щ,1.0,18.0,2.2,1.0,0.36,18.0,29.0,47.0,2.4,49.0
26,2016/01/02,оч╢щ,2.0,18.0,1.9,0.37,0.08,1.0,6.9,7.9,37.0,57.0
27,2016/01/02,оч╢щ,3.0,18.0,1.9,0.35,0.05,0.6,5.9,6.4,36.0,56.0
28,2016/01/02,оч╢щ,4.0,17.0,1.9,0.34,0.04,0.9,6.2,7.2,34.0,57.0
29,2016/01/02,оч╢щ,5.0,17.0,1.9,0.36,0.05,0.6,5.6,6.2,33.0,59.0
30,2016/01/02,оч╢щ,6.0,17.0,1.9,0.39,0.06,0.5,7.5,8.0,29.0,63.0
31,2016/01/02,оч╢щ,7.0,18.0,1.9,0.46,0.11,2.1,12.0,14.0,31.0,49.0
32,2016/01/02,оч╢щ,8.0,18.0,1.9,0.51,0.13,2.7,15.0,18.0,27.0,59.0
33,2016/01/02,оч╢щ,9.0,18.0,1.9,0.52,0.14,2.6,16.0,18.0,29.0,66.0
34,2016/01/02,оч╢щ,10.0,19.0,1.9,0.5,0.11,2.6,14.0,17.0,33.0,71.0
35,2016/01/02,оч╢щ,11.0,19.0,1.9,0.57,0.13,3.2,17.0,20.0,30.0,79.0
36,2016/01/02,оч╢щ,12.0,20.0,2.0,0.65,0.19,3.3,24.0,27.0,23.0,78.0
37,2016/01/02,оч╢щ,13.0,19.0,2.0,0.84,0.3,4.9,37.0,42.0,13.0,86.0
38,2016/01/02,оч╢щ,14.0,19.0,2.0,0.9,0.31,4.0,42.0,46.0,5.7,82.0
39,2016/01/02,оч╢щ,15.0,19.0,2.0,1.1,0.4,12.0,41.0,53.0,2.9,87.0
40,2016/01/02,оч╢щ,16.0,19.0,2.1,1.39,0.53,25.0,41.0,66.0,1.9,93.0
41,2016/01/02,оч╢щ,17.0,18.0,2.3,1.4,0.59,33.0,43.0,76.0,1.7,104.0
42,2016/01/02,оч╢щ,18.0,18.0,2.3,1.51,0.61,37.0,40.0,77.0,1.5,108.0
43,2016/01/02,оч╢щ,19.0,18.0,2.3,1.85,0.72,46.0,40.0,86.0,1.5,104.0
44,2016/01/02,оч╢щ,20.0,18.0,2.4,1.64,0.68,46.0,41.0,88.0,1.8,96.0
45,2016/01/02,оч╢щ,21.0,18.0,2.3,1.51,0.61,37.0,40.0,77.0,1.5,108.0
46,2016/01/02,оч╢щ,22.0,18.0,2.3,1.85,0.72,46.0,40.0,86.0,1.5,104.0
47,2016/01/02,оч╢щ,23.0,18.0,2.4,1.64,0.68,46.0,41.0,88.0,1.8,96.0
48,2016/01/03,оч╢щ,0.0,18.0,2.3,1.42,0.54,44.0,40.0,84.0,1.5,96.0
49,2016/01/03,оч╢щ,1.0,18.0,2.3,1.21,0.48,35.0,40.0,75.0,1.4,93.0
50,2016/01/03,оч╢щ,2.0,18.0,2.1,0.76,0.24,14.0,37.0,51.0,2.1,92.0
51,2016/01/03,оч╢щ,3.0,18.0,2.1,0.7,0.27,13.0,36.0,49.0,2.6,83.0
52,2016/01/03,оч╢щ,4.0,18.0,2.2,0.76,0.32,14.0,38.0,51.0,1.4,76.0
53,2016/01/03,оч╢щ,5.0,18.0,2.1,0.69,0.31,7.7,31.0,39.0,3.6,66.0
54,2016/01/03,оч╢щ,6.0,18.0,2.1,0.83,0.31,19.0,33.0,52.0,1.7,65.0
55,2016/01/03,оч╢щ,7.0,19.0,2.0,0.78,0.27,11.0,27.0,38.0,11.0,54.0
56,2016/01/03,оч╢щ,8.0,19.0,2.1,0.84,0.36,9.8,32.0,42.0,12.0,51.0
57,2016/01/03,оч╢щ,9.0,19.0,2.0,0.82,0.28,5.3,29.0,34.0,18.0,45.0
58,2016/01/03,оч╢щ,10.0,19.0,2.1,0.85,0.29,5.8,31.0,37.0,13.0,40.0
59,2016/01/03,оч╢щ,11.0,20.0,2.0,0.72,0.23,6.7,27.0,34.0,17.0,39.0
60,2016/01/03,оч╢щ,12.0,19.0,1.9,0.51,0.15,3.5,21.0,24.0,21.0,38.0
61,2016/01/03,оч╢щ,13.0,19.0,2.0,0.67,0.22,3.7,29.0,33.0,12.0,32.0
62,2016/01/03,оч╢щ,14.0,19.0,2.0,0.75,0.25,4.5,33.0,38.0,5.6,27.0
63,2016/01/03,оч╢щ,15.0,19.0,2.0,0.91,0.33,15.0,38.0,53.0,1.5,21.0
64,2016/01/03,оч╢щ,16.0,19.0,2.0,0.77,0.27,12.0,35.0,46.0,2.4,23.0
65,2016/01/03,оч╢щ,17.0,19.0,1.9,0.61,0.19,2.5,28.0,31.0,7.7,22.0
66,2016/01/03,оч╢щ,18.0,18.0,1.9,0.47,0.13,1.1,20.0,21.0,15.0,21.0
67,2016/01/03,оч╢щ,19.0,19.0,1.9,0.49,0.13,0.9,21.0,22.0,13.0,19.0
68,2016/01/03,оч╢щ,20.0,19.0,1.9,0.48,0.14,0.8,21.0,22.0,9.8,16.0
69,2016/01/03,оч╢щ,21.0,18.0,1.9,0.47,0.13,1.1,20.0,21.0,15.0,21.0
70,2016/01/03,оч╢щ,22.0,19.0,1.9,0.49,0.13,0.9,21.0,22.0,13.0,19.0
71,2016/01/03,оч╢щ,23.0,19.0,1.9,0.48,0.14,0.8,21.0,22.0,9.8,16.0
72,2016/01/04,оч╢щ,0.0,19.0,2.0,0.5,0.16,2.1,24.0,26.0,6.6,16.0
73,2016/01/04,оч╢щ,1.0,18.0,1.9,0.45,0.13,1.0,21.0,22.0,8.6,9.0
74,2016/01/04,оч╢щ,2.0,19.0,2.4,0.51,0.23,2.7,23.0,26.0,2.8,9.0
75,2016/01/04,оч╢щ,3.0,19.0,2.3,0.55,0.23,13.0,25.0,38.0,1.3,6.0
76,2016/01/04,оч╢щ,4.0,19.0,2.3,0.57,0.25,13.0,27.0,39.0,1.3,10.0
77,2016/01/04,оч╢щ,5.0,19.0,2.3,0.63,0.33,13.0,27.0,40.0,1.3,16.0
78,2016/01/04,оч╢щ,6.0,19.0,2.4,0.95,0.42,35.0,26.0,61.0,1.4,26.0
79,2016/01/04,оч╢щ,7.0,21.0,2.2,1.18,0.52,29.0,41.0,70.0,10.0,55.0
80,2016/01/04,оч╢щ,8.0,22.0,2.1,0.74,0.4,18.0,34.0,52.0,11.0,54.0
81,2016/01/04,оч╢щ,9.0,22.0,2.0,0.55,0.23,8.7,26.0,35.0,16.0,55.0
82,2016/01/04,оч╢щ,10.0,21.0,2.0,0.48,0.18,4.3,23.0,27.0,19.0,49.0
83,2016/01/04,оч╢щ,11.0,21.0,2.0,0.45,0.18,3.6,22.0,26.0,21.0,37.0
84,2016/01/04,оч╢щ,12.0,21.0,2.0,0.51,0.23,4.9,26.0,31.0,16.0,30.0
85,2016/01/04,оч╢щ,13.0,21.0,2.0,0.54,0.21,3.7,27.0,31.0,15.0,37.0
86,2016/01/04,оч╢щ,14.0,21.0,2.0,0.8,0.44,5.5,34.0,39.0,3.6,48.0
87,2016/01/04,оч╢щ,15.0,21.0,2.1,0.93,0.49,9.4,35.0,45.0,2.1,65.0
88,2016/01/04,оч╢щ,16.0,21.0,2.0,1.14,0.75,24.0,34.0,58.0,1.5,63.0
89,2016/01/04,оч╢щ,17.0,21.0,2.1,1.37,1.04,35.0,37.0,72.0,1.7,66.0
90,2016/01/04,оч╢щ,18.0,21.0,2.2,1.91,1.16,52.0,40.0,92.0,1.5,61.0
91,2016/01/04,оч╢щ,19.0,21.0,2.3,2.28,1.29,67.0,38.0,105.0,1.4,65.0
92,2016/01/04,оч╢щ,20.0,21.0,2.2,1.81,0.95,53.0,34.0,87.0,1.4,59.0
93,2016/01/04,оч╢щ,21.0,21.0,2.2,1.91,1.16,52.0,40.0,92.0,1.5,61.0
94,2016/01/04,оч╢щ,22.0,21.0,2.3,2.28,1.29,67.0,38.0,105.0,1.4,65.0
95,2016/01/04,оч╢щ,23.0,21.0,2.2,1.81,0.95,53.0,34.0,87.0,1.4,59.0
96,2016/01/05,оч╢щ,0.0,21.0,2.2,1.51,0.74,47.0,30.0,76.0,1.3,55.0
97,2016/01/05,оч╢щ,1.0,20.0,2.5,1.63,0.87,60.0,29.0,89.0,1.5,51.0
98,2016/01/05,оч╢щ,2.0,20.0,2.7,1.51,1.0,72.0,32.0,105.0,1.4,60.0
99,2016/01/05,оч╢щ,3.0,20.0,2.3,0.7,0.39,21.0,31.0,51.0,1.2,71.0
100,2016/01/05,оч╢щ,4.0,20.0,2.4,1.14,0.65,49.0,30.0,79.0,1.4,79.0
101,2016/01/05,оч╢щ,5.0,20.0,2.2,1.09,0.62,47.0,22.0,69.0,1.3,79.0
