,date,location,time,RAINFALL,RH,SO2,THC,UVB,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
0,2016/01/01,оч╢щ,0.0,NR,74.0,3.4,2.0,0.0,101.0,99.0,3.8,3.3
1,2016/01/01,оч╢щ,1.0,NR,78.0,3.0,2.0,0.0,98.0,93.0,3.2,2.7
2,2016/01/01,оч╢щ,2.0,NR,79.0,3.1,2.0,0.0,95.0,96.0,3.4,2.7
3,2016/01/01,оч╢щ,3.0,NR,78.0,2.7,1.9,0.0,96.0,100.0,2.6,2.7
4,2016/01/01,оч╢щ,4.0,NR,80.0,2.5,1.9,0.0,102.0,99.0,3.1,2.9
5,2016/01/01,оч╢щ,5.0,NR,81.0,3.6,1.9,0.0,96.0,95.0,3.1,2.5
6,2016/01/01,оч╢щ,6.0,NR,80.0,3.1,1.9,0.0,101.0,99.0,3.7,3.6
7,2016/01/01,оч╢щ,7.0,NR,72.0,1.9,2.0,4.3,91.0,92.0,3.4,3.6
8,2016/01/01,оч╢щ,8.0,NR,69.0,1.5,2.0,5.2,86.0,79.0,3.7,3.1
9,2016/01/01,оч╢щ,9.0,NR,68.0,1.4,1.9,5.2,89.0,84.0,3.7,3.3
10,2016/01/01,оч╢щ,10.0,NR,67.0,1.5,2.0,4.1,83.0,93.0,3.6,3.1
11,2016/01/01,оч╢щ,11.0,NR,68.0,1.9,2.0,2.5,89.0,84.0,2.9,2.9
12,2016/01/01,оч╢щ,12.0,NR,70.0,3.3,2.0,1.1,84.0,83.0,2.5,2.4
13,2016/01/01,оч╢щ,13.0,NR,76.0,4.2,2.0,0.3,84.0,82.0,2.0,1.9
14,2016/01/01,оч╢щ,14.0,NR,81.0,3.9,2.0,0.0,83.0,85.0,1.5,1.3
15,2016/01/01,оч╢щ,15.0,NR,82.0,4.5,2.0,0.0,88.0,99.0,1.1,1.0
16,2016/01/01,оч╢щ,16.0,NR,83.0,6.1,2.0,0.0,97.0,199.0,0.6,0.6
17,2016/01/01,оч╢щ,17.0,NR,86.0,5.8,2.2,0.0,336.0,330.0,0.5,0.3
18,2016/01/01,оч╢щ,18.0,NR,90.0,3.6,2.6,0.0,356.0,347.0,0.5,0.3
19,2016/01/01,оч╢щ,19.0,NR,93.0,3.0,2.4,0.0,64.0,80.0,0.5,0.4
20,2016/01/01,оч╢щ,20.0,NR,95.0,3.0,2.6,0.0,94.0,126.0,0.5,0.4
21,2016/01/01,оч╢щ,21.0,NR,90.0,3.6,2.6,0.0,356.0,347.0,0.5,0.3
22,2016/01/01,оч╢щ,22.0,NR,93.0,3.0,2.4,0.0,64.0,80.0,0.5,0.4
23,2016/01/01,оч╢щ,23.0,NR,95.0,3.0,2.6,0.0,94.0,126.0,0.5,0.4
24,2016/01/02,оч╢щ,0.0,NR,94.0,4.5,2.6,0.0,126.0,126.0,0.5,0.5
25,2016/01/02,оч╢щ,1.0,NR,93.0,3.7,2.6,0.0,123.0,324.0,0.8,0.3
26,2016/01/02,оч╢щ,2.0,NR,91.0,2.0,2.0,0.0,323.0,326.0,0.5,0.2
27,2016/01/02,оч╢щ,3.0,NR,91.0,1.7,1.9,0.0,41.0,62.0,0.6,0.3
28,2016/01/02,оч╢щ,4.0,NR,91.0,1.6,2.0,0.0,22.0,49.0,0.6,0.3
29,2016/01/02,оч╢щ,5.0,NR,91.0,1.5,2.0,0.0,75.0,81.0,0.5,0.4
30,2016/01/02,оч╢щ,6.0,NR,91.0,1.3,2.0,0.0,82.0,85.0,0.6,0.5
31,2016/01/02,оч╢щ,7.0,NR,88.0,1.5,2.0,1.0,344.0,316.0,1.7,0.3
32,2016/01/02,оч╢щ,8.0,NR,88.0,1.8,2.0,1.2,340.0,357.0,1.3,0.3
33,2016/01/02,оч╢щ,9.0,NR,88.0,2.4,2.0,1.3,316.0,323.0,1.0,0.4
34,2016/01/02,оч╢щ,10.0,NR,86.0,2.4,2.0,1.4,331.0,346.0,0.9,0.4
35,2016/01/02,оч╢щ,11.0,NR,84.0,2.3,2.0,1.5,301.0,314.0,0.7,0.4
36,2016/01/02,оч╢щ,12.0,NR,83.0,2.7,2.1,0.5,278.0,269.0,0.9,0.3
37,2016/01/02,оч╢щ,13.0,NR,84.0,2.9,2.3,0.1,289.0,299.0,0.7,0.5
38,2016/01/02,оч╢щ,14.0,NR,87.0,3.4,2.3,0.0,128.0,81.0,0.6,0.2
39,2016/01/02,оч╢щ,15.0,NR,89.0,19.0,2.4,0.0,101.0,96.0,0.8,0.5
40,2016/01/02,оч╢щ,16.0,NR,89.0,15.0,2.7,0.0,16.0,17.0,0.5,0.3
