,date,location,time,PM2.5
0,2016/01/01,оч╢щ,0.0,56.0
1,2016/01/01,оч╢щ,1.0,50.0
2,2016/01/01,оч╢щ,2.0,51.0
3,2016/01/01,оч╢щ,3.0,46.0
4,2016/01/01,оч╢щ,4.0,41.0
5,2016/01/01,оч╢щ,5.0,36.0
6,2016/01/01,оч╢щ,6.0,29.0
7,2016/01/01,оч╢щ,7.0,28.0
8,2016/01/01,оч╢щ,8.0,29.0
9,2016/01/01,оч╢щ,9.0,24.0
10,2016/01/01,оч╢щ,10.0,27.0
11,2016/01/01,оч╢щ,11.0,23.0
12,2016/01/01,оч╢щ,12.0,32.0
13,2016/01/01,оч╢щ,13.0,28.0
14,2016/01/01,оч╢щ,14.0,27.0
15,2016/01/01,оч╢щ,15.0,27.0
16,2016/01/01,оч╢щ,16.0,25.0
17,2016/01/01,оч╢щ,17.0,25.0
18,2016/01/01,оч╢щ,18.0,29.0
19,2016/01/01,оч╢щ,19.0,25.0
20,2016/01/01,оч╢щ,20.0,30.0
21,2016/01/01,оч╢щ,21.0,29.0
22,2016/01/01,оч╢щ,22.0,25.0
23,2016/01/01,оч╢щ,23.0,30.0
24,2016/01/02,оч╢щ,0.0,28.0
25,2016/01/02,оч╢щ,1.0,35.0
26,2016/01/02,оч╢щ,2.0,34.0
27,2016/01/02,оч╢щ,3.0,33.0
28,2016/01/02,оч╢щ,4.0,33.0
29,2016/01/02,оч╢щ,5.0,20.0
30,2016/01/02,оч╢щ,6.0,17.0
31,2016/01/02,оч╢щ,7.0,35.0
32,2016/01/02,оч╢щ,8.0,34.0
33,2016/01/02,оч╢щ,9.0,41.0
34,2016/01/02,оч╢щ,10.0,43.0
35,2016/01/02,оч╢щ,11.0,43.0
36,2016/01/02,оч╢щ,12.0,57.0
37,2016/01/02,оч╢щ,13.0,56.0
38,2016/01/02,оч╢щ,14.0,60.0
39,2016/01/02,оч╢щ,15.0,60.0
40,2016/01/02,оч╢щ,16.0,57.0
41,2016/01/02,оч╢щ,17.0,65.0
42,2016/01/02,оч╢щ,18.0,65.0
43,2016/01/02,оч╢щ,19.0,68.0
44,2016/01/02,оч╢щ,20.0,72.0
45,2016/01/02,оч╢щ,21.0,65.0
46,2016/01/02,оч╢щ,22.0,68.0
47,2016/01/02,оч╢щ,23.0,72.0
48,2016/01/03,оч╢щ,0.0,68.0
49,2016/01/03,оч╢щ,1.0,62.0
50,2016/01/03,оч╢щ,2.0,62.0
51,2016/01/03,оч╢щ,3.0,52.0
52,2016/01/03,оч╢щ,4.0,32.0
53,2016/01/03,оч╢щ,5.0,32.0
54,2016/01/03,оч╢щ,6.0,30.0
55,2016/01/03,оч╢щ,7.0,37.0
56,2016/01/03,оч╢щ,8.0,42.0
57,2016/01/03,оч╢щ,9.0,32.0
